id,recruit.id,coupon.1,coupon.2,coupon.3,degree,sex,age,education,humanitarian,advocacy,development,media,protest,armed,fundraising,institutions,parties,most_recent,employ_status,time_status,formality,cooperation,cooperation_location,syria_pre2011,syria_post2011,trust
1,1,11,12,13,30,2,28,6,1,2,1,1,3,3,2,2,3,4,1,1,2,1,1,1,2,2
2,2,21,22,23,6,1,30,7,1,1,1,3,3,3,3,3,3,1,1,2,2,1,3,2,2,2
3,4,41,42,43,25,1,28,4,2,1,2,1,3,3,2,1,3,4,2,1,2,1,3,2,1,1
4,12,121,122,123,3,1,33,6,1,1,2,1,2,3,1,1,2,8,2,2,2,1,1,2,1,1
5,5,51,52,53,30,1,31,6,1,1,1,1,NA,3,2,3,3,4,2,1,2,1,3,1,1,2
6,3,31,32,33,25,1,26,6,1,1,1,1,1,3,3,1,3,8,1,1,1,1,1,2,2,2
7,22,221,222,223,5,1,29,6,1,2,1,2,3,3,3,3,3,1,1,2,2,1,1,2,2,2
8,11,111,112,113,15,2,25,4,1,2,2,2,3,3,1,3,3,1,2,1,2,1,2,2,1,2
9,111,1111,1112,1113,50,1,28,6,1,1,1,1,1,3,1,1,3,1,2,1,2,1,3,2,1,1
10,113,1131,1132,1133,10,2,28,5,1,1,1,3,3,3,1,3,3,1,2,1,2,1,2,2,2,2
11,21,211,212,213,20,1,22,4,1,2,1,1,3,3,1,3,3,1,2,2,2,1,2,2,2,2
12,1113,11131,11132,11133,3,2,30,5,1,2,2,2,3,3,1,NA,NA,1,2,1,2,1,2,2,2,1
13,1112,11121,11122,11123,5,1,31,6,1,2,2,2,2,3,2,3,3,1,2,1,2,2,NA,2,1,2
14,223,2231,2232,2233,4,2,23,4,2,2,1,3,3,3,2,3,3,3,2,2,1,2,NA,2,2,2
15,131,1311,1312,1313,30,2,30,6,1,1,1,1,3,3,3,1,3,4,3,1,2,1,3,2,1,1
16,11122,111221,111222,111223,50,1,23,4,1,1,2,3,3,3,3,3,3,2,2,2,2,1,2,1,2,2
17,11131,111311,111312,111313,3,2,32,6,1,2,2,2,2,3,2,2,2,1,2,1,2,1,2,1,1,2
18,11121,111211,111212,111213,15,1,24,5,1,1,1,2,3,3,2,3,3,1,2,2,2,1,2,1,1,2
19,11132,111321,111322,111323,3,2,28,4,1,1,2,3,3,3,1,3,3,1,1,1,2,1,2,2,2,2
20,13,131,132,133,15,2,32,6,2,2,2,1,3,3,2,2,3,4,1,1,2,1,1,2,1,2
21,111221,1112211,1112212,1112213,5,1,22,4,2,2,1,2,3,3,2,3,NA,3,2,2,2,1,2,2,2,2
22,1131,11311,11312,11313,15,2,32,4,1,1,2,1,3,3,2,3,3,1,2,2,2,1,1,2,2,2
23,522,5221,5222,5223,5,2,20,5,2,1,2,1,1,3,1,3,3,4,1,2,2,1,3,2,1,2
24,521,5211,5212,5213,5,2,23,4,1,2,2,1,1,3,3,3,3,1,1,1,2,1,2,1,1,2
25,7,71,72,73,10,1,31,6,2,1,1,1,3,3,3,1,3,3,1,2,2,2,NA,2,2,2
26,1112211,11122111,11122112,11122113,4,2,24,4,1,2,1,3,2,3,3,3,3,1,2,1,2,2,NA,2,1,2
27,1112231,11122311,11122312,11122313,4,1,20,4,1,1,1,1,3,2,1,3,3,3,2,3,1,1,2,1,2,1
28,11311,113111,113112,113113,2,2,26,4,2,1,3,3,3,3,2,3,3,2,2,1,2,1,2,2,2,2
